country,year,sex,age,gdp_for_year ($),gdp_per_capita ($)
Albania,1987,male,15-24 years,"2,15,66,24,900",796.0
Albania,1987,male,35-54 years,"2,15,66,24,900",796.0
Albania,1987,female,15-24 years,"2,15,66,24,900",796.0
Albania,1987,male,75+ years,"2,15,66,24,900",796.0
Albania,1987,male,25-34 years,"2,15,66,24,900",796.0
Albania,1987,female,75+ years,"2,15,66,24,900",796.0
Albania,1987,female,35-54 years,"2,15,66,24,900",796.0
Albania,1987,female,25-34 years,"2,15,66,24,900",796.0
Albania,1987,male,55-74 years,"2,15,66,24,900",796.0
Albania,1987,female,5-14 years,"2,15,66,24,900",796.0
Albania,1987,female,55-74 years,"2,15,66,24,900",796.0
Albania,1987,male,5-14 years,"2,15,66,24,900",796.0
Albania,1988,female,75+ years,"2,12,60,00,000",769.0
Albania,1988,male,15-24 years,"2,12,60,00,000",769.0
Albania,1988,male,75+ years,"2,12,60,00,000",769.0
Albania,1988,male,35-54 years,"2,12,60,00,000",769.0
Albania,1988,male,55-74 years,"2,12,60,00,000",769.0
Albania,1988,female,15-24 years,"2,12,60,00,000",769.0
Albania,1988,female,55-74 years,"2,12,60,00,000",769.0
Albania,1988,female,25-34 years,"2,12,60,00,000",769.0
Albania,1988,male,25-34 years,"2,12,60,00,000",769.0
Albania,1988,female,35-54 years,"2,12,60,00,000",769.0
Albania,1988,female,5-14 years,"2,12,60,00,000",769.0
Albania,1988,male,5-14 years,"2,12,60,00,000",769.0
Albania,1989,male,75+ years,"2,33,51,24,988",833.0
Albania,1989,male,25-34 years,"2,33,51,24,988",833.0
Albania,1989,male,35-54 years,"2,33,51,24,988",833.0
Albania,1989,male,55-74 years,"2,33,51,24,988",833.0
Albania,1989,male,15-24 years,"2,33,51,24,988",833.0
Albania,1989,female,35-54 years,"2,33,51,24,988",833.0
Albania,1989,female,15-24 years,"2,33,51,24,988",833.0
Albania,1989,female,25-34 years,"2,33,51,24,988",833.0
Albania,1989,female,55-74 years,"2,33,51,24,988",833.0
Albania,1989,female,5-14 years,"2,33,51,24,988",833.0
Albania,1989,female,75+ years,"2,33,51,24,988",833.0
Albania,1989,male,5-14 years,"2,33,51,24,988",833.0
Albania,1992,male,35-54 years,"70,94,52,584",251.0
Albania,1992,male,15-24 years,"70,94,52,584",251.0
Albania,1992,male,55-74 years,"70,94,52,584",251.0
Albania,1992,male,25-34 years,"70,94,52,584",251.0
Albania,1992,female,15-24 years,"70,94,52,584",251.0
Albania,1992,female,25-34 years,"70,94,52,584",251.0
Albania,1992,female,35-54 years,"70,94,52,584",251.0
Albania,1992,female,55-74 years,"70,94,52,584",251.0
Albania,1992,female,5-14 years,"70,94,52,584",251.0
Albania,1992,female,75+ years,"70,94,52,584",251.0
Albania,1992,male,5-14 years,"70,94,52,584",251.0
Albania,1992,male,75+ years,"70,94,52,584",251.0
Albania,1993,male,15-24 years,"1,22,80,71,038",437.0
Albania,1993,male,55-74 years,"1,22,80,71,038",437.0
Albania,1993,male,75+ years,"1,22,80,71,038",437.0
Albania,1993,male,25-34 years,"1,22,80,71,038",437.0
Albania,1993,female,15-24 years,"1,22,80,71,038",437.0
Albania,1993,male,35-54 years,"1,22,80,71,038",437.0
Albania,1993,female,25-34 years,"1,22,80,71,038",437.0
Albania,1993,female,35-54 years,"1,22,80,71,038",437.0
Albania,1993,female,55-74 years,"1,22,80,71,038",437.0
Albania,1993,female,5-14 years,"1,22,80,71,038",437.0
Albania,1993,male,5-14 years,"1,22,80,71,038",437.0
Albania,1993,female,75+ years,"1,22,80,71,038",437.0
Albania,1994,male,75+ years,"1,98,56,73,798",697.0
Albania,1994,male,55-74 years,"1,98,56,73,798",697.0
Albania,1994,female,75+ years,"1,98,56,73,798",697.0
Albania,1994,male,25-34 years,"1,98,56,73,798",697.0
Albania,1994,male,35-54 years,"1,98,56,73,798",697.0
Albania,1994,male,15-24 years,"1,98,56,73,798",697.0
Albania,1994,female,15-24 years,"1,98,56,73,798",697.0
Albania,1994,female,25-34 years,"1,98,56,73,798",697.0
Albania,1994,female,35-54 years,"1,98,56,73,798",697.0
Albania,1994,female,55-74 years,"1,98,56,73,798",697.0
Albania,1994,male,5-14 years,"1,98,56,73,798",697.0
Albania,1994,female,5-14 years,"1,98,56,73,798",697.0
Albania,1995,male,25-34 years,"2,42,44,99,009",835.0
Albania,1995,male,55-74 years,"2,42,44,99,009",835.0
Albania,1995,female,75+ years,"2,42,44,99,009",835.0
Albania,1995,female,15-24 years,"2,42,44,99,009",835.0
Albania,1995,male,15-24 years,"2,42,44,99,009",835.0
Albania,1995,male,75+ years,"2,42,44,99,009",835.0
Albania,1995,male,35-54 years,"2,42,44,99,009",835.0
Albania,1995,female,25-34 years,"2,42,44,99,009",835.0
Albania,1995,female,35-54 years,"2,42,44,99,009",835.0
Albania,1995,male,5-14 years,"2,42,44,99,009",835.0
Albania,1995,female,55-74 years,"2,42,44,99,009",835.0
Albania,1995,female,5-14 years,"2,42,44,99,009",835.0
Albania,1996,male,75+ years,"3,31,48,98,292",1127.0
Albania,1996,male,15-24 years,"3,31,48,98,292",1127.0
Albania,1996,male,25-34 years,"3,31,48,98,292",1127.0
Albania,1996,female,15-24 years,"3,31,48,98,292",1127.0
Albania,1996,female,75+ years,"3,31,48,98,292",1127.0
Albania,1996,female,25-34 years,"3,31,48,98,292",1127.0
Albania,1996,male,35-54 years,"3,31,48,98,292",1127.0
Albania,1996,female,35-54 years,"3,31,48,98,292",1127.0
Albania,1996,male,55-74 years,"3,31,48,98,292",1127.0
Albania,1996,female,55-74 years,"3,31,48,98,292",1127.0
Albania,1996,male,5-14 years,"3,31,48,98,292",1127.0
Albania,1996,female,5-14 years,"3,31,48,98,292",1127.0
Albania,1997,male,25-34 years,"2,35,99,03,108",793.0
Albania,1997,male,15-24 years,"2,35,99,03,108",793.0
Albania,1997,male,75+ years,"2,35,99,03,108",793.0
Albania,1997,male,35-54 years,"2,35,99,03,108",793.0
Albania,1997,female,15-24 years,"2,35,99,03,108",793.0
Albania,1997,male,55-74 years,"2,35,99,03,108",793.0
Albania,1997,female,25-34 years,"2,35,99,03,108",793.0
Albania,1997,female,75+ years,"2,35,99,03,108",793.0
Albania,1997,female,35-54 years,"2,35,99,03,108",793.0
Albania,1997,female,5-14 years,"2,35,99,03,108",793.0
Albania,1997,male,5-14 years,"2,35,99,03,108",793.0
Albania,1997,female,55-74 years,"2,35,99,03,108",793.0
Albania,1998,male,75+ years,"2,70,71,23,772",899.0
Albania,1998,male,15-24 years,"2,70,71,23,772",899.0
Albania,1998,female,15-24 years,"2,70,71,23,772",899.0
Albania,1998,male,25-34 years,"2,70,71,23,772",899.0
Albania,1998,male,35-54 years,"2,70,71,23,772",899.0
Albania,1998,male,55-74 years,"2,70,71,23,772",899.0
Albania,1998,female,25-34 years,"2,70,71,23,772",899.0
Albania,1998,female,55-74 years,"2,70,71,23,772",899.0
Albania,1998,female,35-54 years,"2,70,71,23,772",899.0
Albania,1998,male,5-14 years,"2,70,71,23,772",899.0
Albania,1998,female,5-14 years,"2,70,71,23,772",899.0
Albania,1998,female,75+ years,"2,70,71,23,772",899.0
Albania,1999,male,75+ years,"3,41,47,60,915",1127.0
Albania,1999,male,15-24 years,"3,41,47,60,915",1127.0
Albania,1999,female,75+ years,"3,41,47,60,915",1127.0
Albania,1999,male,35-54 years,"3,41,47,60,915",1127.0
Albania,1999,male,25-34 years,"3,41,47,60,915",1127.0
Albania,1999,male,55-74 years,"3,41,47,60,915",1127.0
Albania,1999,female,15-24 years,"3,41,47,60,915",1127.0
Albania,1999,female,25-34 years,"3,41,47,60,915",1127.0
Albania,1999,female,55-74 years,"3,41,47,60,915",1127.0
Albania,1999,female,35-54 years,"3,41,47,60,915",1127.0
Albania,1999,female,5-14 years,"3,41,47,60,915",1127.0
Albania,1999,male,5-14 years,"3,41,47,60,915",1127.0
Albania,2000,male,25-34 years,"3,63,20,43,908",1299.0
Albania,2000,male,55-74 years,"3,63,20,43,908",1299.0
Albania,2000,female,75+ years,"3,63,20,43,908",1299.0
Albania,2000,male,75+ years,"3,63,20,43,908",1299.0
Albania,2000,female,15-24 years,"3,63,20,43,908",1299.0
Albania,2000,male,15-24 years,"3,63,20,43,908",1299.0
Albania,2000,female,35-54 years,"3,63,20,43,908",1299.0
Albania,2000,female,25-34 years,"3,63,20,43,908",1299.0
Albania,2000,male,35-54 years,"3,63,20,43,908",1299.0
Albania,2000,male,5-14 years,"3,63,20,43,908",1299.0
Albania,2000,female,5-14 years,"3,63,20,43,908",1299.0
Albania,2000,female,55-74 years,"3,63,20,43,908",1299.0
Albania,2001,male,25-34 years,"4,06,07,58,804",1451.0
Albania,2001,male,35-54 years,"4,06,07,58,804",1451.0
Albania,2001,male,55-74 years,"4,06,07,58,804",1451.0
Albania,2001,female,75+ years,"4,06,07,58,804",1451.0
Albania,2001,male,15-24 years,"4,06,07,58,804",1451.0
Albania,2001,female,15-24 years,"4,06,07,58,804",1451.0
Albania,2001,female,35-54 years,"4,06,07,58,804",1451.0
Albania,2001,male,75+ years,"4,06,07,58,804",1451.0
Albania,2001,female,55-74 years,"4,06,07,58,804",1451.0
Albania,2001,male,5-14 years,"4,06,07,58,804",1451.0
Albania,2001,female,25-34 years,"4,06,07,58,804",1451.0
Albania,2001,female,5-14 years,"4,06,07,58,804",1451.0
Albania,2002,male,75+ years,"4,43,50,78,648",1573.0
Albania,2002,male,25-34 years,"4,43,50,78,648",1573.0
Albania,2002,male,35-54 years,"4,43,50,78,648",1573.0
Albania,2002,male,55-74 years,"4,43,50,78,648",1573.0
Albania,2002,male,15-24 years,"4,43,50,78,648",1573.0
Albania,2002,female,15-24 years,"4,43,50,78,648",1573.0
Albania,2002,female,35-54 years,"4,43,50,78,648",1573.0
Albania,2002,female,25-34 years,"4,43,50,78,648",1573.0
Albania,2002,female,75+ years,"4,43,50,78,648",1573.0
Albania,2002,female,55-74 years,"4,43,50,78,648",1573.0
Albania,2002,female,5-14 years,"4,43,50,78,648",1573.0
Albania,2002,male,5-14 years,"4,43,50,78,648",1573.0
Albania,2003,female,75+ years,"5,74,69,45,913",2021.0
Albania,2003,male,55-74 years,"5,74,69,45,913",2021.0
Albania,2003,male,35-54 years,"5,74,69,45,913",2021.0
Albania,2003,male,15-24 years,"5,74,69,45,913",2021.0
Albania,2003,female,15-24 years,"5,74,69,45,913",2021.0
Albania,2003,female,55-74 years,"5,74,69,45,913",2021.0
Albania,2003,male,25-34 years,"5,74,69,45,913",2021.0
Albania,2003,female,25-34 years,"5,74,69,45,913",2021.0
Albania,2003,female,35-54 years,"5,74,69,45,913",2021.0
Albania,2003,male,75+ years,"5,74,69,45,913",2021.0
Albania,2003,male,5-14 years,"5,74,69,45,913",2021.0
Albania,2003,female,5-14 years,"5,74,69,45,913",2021.0
Albania,2004,male,75+ years,"7,31,48,65,176",2544.0
Albania,2004,male,35-54 years,"7,31,48,65,176",2544.0
Albania,2004,male,25-34 years,"7,31,48,65,176",2544.0
Albania,2004,female,15-24 years,"7,31,48,65,176",2544.0
Albania,2004,male,15-24 years,"7,31,48,65,176",2544.0
Albania,2004,female,75+ years,"7,31,48,65,176",2544.0
Albania,2004,female,25-34 years,"7,31,48,65,176",2544.0
Albania,2004,male,55-74 years,"7,31,48,65,176",2544.0
Albania,2004,female,35-54 years,"7,31,48,65,176",2544.0
Albania,2004,female,55-74 years,"7,31,48,65,176",2544.0
Albania,2004,female,5-14 years,"7,31,48,65,176",2544.0
Albania,2004,male,5-14 years,"7,31,48,65,176",2544.0
Albania,2005,female,15-24 years,"8,15,85,48,717",2931.0
Albania,2005,female,25-34 years,"8,15,85,48,717",2931.0
Albania,2005,female,35-54 years,"8,15,85,48,717",2931.0
Albania,2005,female,5-14 years,"8,15,85,48,717",2931.0
Albania,2005,female,55-74 years,"8,15,85,48,717",2931.0
Albania,2005,female,75+ years,"8,15,85,48,717",2931.0
Albania,2005,male,15-24 years,"8,15,85,48,717",2931.0
Albania,2005,male,25-34 years,"8,15,85,48,717",2931.0
Albania,2005,male,35-54 years,"8,15,85,48,717",2931.0
Albania,2005,male,5-14 years,"8,15,85,48,717",2931.0
Albania,2005,male,55-74 years,"8,15,85,48,717",2931.0
Albania,2005,male,75+ years,"8,15,85,48,717",2931.0
Albania,2006,female,15-24 years,"8,99,26,42,349",3235.0
Albania,2006,female,25-34 years,"8,99,26,42,349",3235.0
Albania,2006,female,35-54 years,"8,99,26,42,349",3235.0
Albania,2006,female,5-14 years,"8,99,26,42,349",3235.0
Albania,2006,female,55-74 years,"8,99,26,42,349",3235.0
Albania,2006,female,75+ years,"8,99,26,42,349",3235.0
Albania,2006,male,15-24 years,"8,99,26,42,349",3235.0
Albania,2006,male,25-34 years,"8,99,26,42,349",3235.0
Albania,2006,male,35-54 years,"8,99,26,42,349",3235.0
Albania,2006,male,5-14 years,"8,99,26,42,349",3235.0
Albania,2006,male,55-74 years,"8,99,26,42,349",3235.0
Albania,2006,male,75+ years,"8,99,26,42,349",3235.0
Albania,2007,male,75+ years,"10,70,10,11,897",3863.0
Albania,2007,male,35-54 years,"10,70,10,11,897",3863.0
Albania,2007,male,55-74 years,"10,70,10,11,897",3863.0
Albania,2007,female,75+ years,"10,70,10,11,897",3863.0
Albania,2007,male,25-34 years,"10,70,10,11,897",3863.0
Albania,2007,female,15-24 years,"10,70,10,11,897",3863.0
Albania,2007,male,15-24 years,"10,70,10,11,897",3863.0
Albania,2007,female,25-34 years,"10,70,10,11,897",3863.0
Albania,2007,female,55-74 years,"10,70,10,11,897",3863.0
Albania,2007,female,35-54 years,"10,70,10,11,897",3863.0
Albania,2007,male,5-14 years,"10,70,10,11,897",3863.0
Albania,2007,female,5-14 years,"10,70,10,11,897",3863.0
Albania,2008,male,25-34 years,"12,88,13,52,688",4672.0
Albania,2008,male,35-54 years,"12,88,13,52,688",4672.0
Albania,2008,male,55-74 years,"12,88,13,52,688",4672.0
Albania,2008,female,75+ years,"12,88,13,52,688",4672.0
Albania,2008,female,15-24 years,"12,88,13,52,688",4672.0
Albania,2008,female,25-34 years,"12,88,13,52,688",4672.0
Albania,2008,female,35-54 years,"12,88,13,52,688",4672.0
Albania,2008,male,75+ years,"12,88,13,52,688",4672.0
Albania,2008,male,15-24 years,"12,88,13,52,688",4672.0
Albania,2008,female,55-74 years,"12,88,13,52,688",4672.0
Albania,2008,male,5-14 years,"12,88,13,52,688",4672.0
Albania,2008,female,5-14 years,"12,88,13,52,688",4672.0
Albania,2009,female,15-24 years,"12,04,42,12,904",4387.0
Albania,2009,female,25-34 years,"12,04,42,12,904",4387.0
Albania,2009,female,35-54 years,"12,04,42,12,904",4387.0
Albania,2009,female,5-14 years,"12,04,42,12,904",4387.0
Albania,2009,female,55-74 years,"12,04,42,12,904",4387.0
Albania,2009,female,75+ years,"12,04,42,12,904",4387.0
Albania,2009,male,15-24 years,"12,04,42,12,904",4387.0
Albania,2009,male,25-34 years,"12,04,42,12,904",4387.0
Albania,2009,male,35-54 years,"12,04,42,12,904",4387.0
Albania,2009,male,5-14 years,"12,04,42,12,904",4387.0
Albania,2009,male,55-74 years,"12,04,42,12,904",4387.0
Albania,2009,male,75+ years,"12,04,42,12,904",4387.0
Albania,2010,male,55-74 years,"11,92,69,53,259",4359.0
Albania,2010,male,35-54 years,"11,92,69,53,259",4359.0
Albania,2010,male,25-34 years,"11,92,69,53,259",4359.0
Albania,2010,male,75+ years,"11,92,69,53,259",4359.0
Albania,2010,male,15-24 years,"11,92,69,53,259",4359.0
Albania,2010,female,25-34 years,"11,92,69,53,259",4359.0
Albania,2010,female,75+ years,"11,92,69,53,259",4359.0
Albania,2010,female,35-54 years,"11,92,69,53,259",4359.0
Albania,2010,female,55-74 years,"11,92,69,53,259",4359.0
Albania,2010,female,15-24 years,"11,92,69,53,259",4359.0
Albania,2010,female,5-14 years,"11,92,69,53,259",4359.0
Albania,2010,male,5-14 years,"11,92,69,53,259",4359.0
Antigua and Barbuda,1985,female,15-24 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,female,25-34 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,female,35-54 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,female,5-14 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,female,55-74 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,female,75+ years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,15-24 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,25-34 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,35-54 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,5-14 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,55-74 years,"24,09,23,926",3850.0
Antigua and Barbuda,1985,male,75+ years,"24,09,23,926",3850.0
Antigua and Barbuda,1986,female,15-24 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,female,25-34 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,female,35-54 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,female,5-14 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,female,55-74 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,female,75+ years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,15-24 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,25-34 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,35-54 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,5-14 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,55-74 years,"29,04,40,148",4740.0
Antigua and Barbuda,1986,male,75+ years,"29,04,40,148",4740.0
Antigua and Barbuda,1987,female,15-24 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,female,25-34 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,female,35-54 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,female,5-14 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,female,55-74 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,female,75+ years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,15-24 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,25-34 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,35-54 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,5-14 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,55-74 years,"33,71,74,852",5595.0
Antigua and Barbuda,1987,male,75+ years,"33,71,74,852",5595.0
Antigua and Barbuda,1988,female,15-24 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,female,25-34 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,female,35-54 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,female,5-14 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,female,55-74 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,female,75+ years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,15-24 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,25-34 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,35-54 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,5-14 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,55-74 years,"39,86,37,741",6693.0
Antigua and Barbuda,1988,male,75+ years,"39,86,37,741",6693.0
Antigua and Barbuda,1989,female,15-24 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,female,25-34 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,female,35-54 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,female,5-14 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,female,55-74 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,female,75+ years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,15-24 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,25-34 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,35-54 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,5-14 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,55-74 years,"43,87,94,778",7407.0
Antigua and Barbuda,1989,male,75+ years,"43,87,94,778",7407.0
Antigua and Barbuda,1990,male,35-54 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,15-24 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,25-34 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,35-54 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,5-14 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,55-74 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,female,75+ years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,male,15-24 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,male,25-34 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,male,5-14 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,male,55-74 years,"45,94,69,074",7744.0
Antigua and Barbuda,1990,male,75+ years,"45,94,69,074",7744.0
Antigua and Barbuda,1991,female,15-24 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,female,25-34 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,female,35-54 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,female,5-14 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,female,55-74 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,female,75+ years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,15-24 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,25-34 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,35-54 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,5-14 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,55-74 years,"48,17,06,333",7976.0
Antigua and Barbuda,1991,male,75+ years,"48,17,06,333",7976.0
Antigua and Barbuda,1992,female,15-24 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,female,25-34 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,female,35-54 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,female,5-14 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,female,55-74 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,female,75+ years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,15-24 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,25-34 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,35-54 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,5-14 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,55-74 years,"49,92,81,148",8087.0
Antigua and Barbuda,1992,male,75+ years,"49,92,81,148",8087.0
Antigua and Barbuda,1993,male,25-34 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,15-24 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,25-34 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,35-54 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,5-14 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,55-74 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,female,75+ years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,male,15-24 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,male,35-54 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,male,5-14 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,male,55-74 years,"53,51,72,778",8453.0
Antigua and Barbuda,1993,male,75+ years,"53,51,72,778",8453.0
Antigua and Barbuda,1994,female,15-24 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,female,25-34 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,female,35-54 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,female,5-14 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,female,55-74 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,female,75+ years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,15-24 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,25-34 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,35-54 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,5-14 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,55-74 years,"58,94,29,593",9062.0
Antigua and Barbuda,1994,male,75+ years,"58,94,29,593",9062.0
Antigua and Barbuda,1995,female,15-24 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,female,25-34 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,female,35-54 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,female,5-14 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,female,55-74 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,female,75+ years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,15-24 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,25-34 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,35-54 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,5-14 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,55-74 years,"57,72,80,741",8636.0
Antigua and Barbuda,1995,male,75+ years,"57,72,80,741",8636.0
Antigua and Barbuda,1998,female,15-24 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,female,25-34 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,female,35-54 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,female,5-14 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,female,55-74 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,female,75+ years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,15-24 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,25-34 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,35-54 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,5-14 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,55-74 years,"72,78,60,593",10078.0
Antigua and Barbuda,1998,male,75+ years,"72,78,60,593",10078.0
Antigua and Barbuda,1999,female,15-24 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,female,25-34 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,female,35-54 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,female,5-14 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,female,55-74 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,female,75+ years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,15-24 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,25-34 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,35-54 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,5-14 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,55-74 years,"76,61,98,926",10378.0
Antigua and Barbuda,1999,male,75+ years,"76,61,98,926",10378.0
Antigua and Barbuda,2000,male,55-74 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,male,35-54 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,15-24 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,25-34 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,35-54 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,5-14 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,55-74 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,female,75+ years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,male,15-24 years,"83,01,58,778",11021.0
Antigua and Barbuda,2000,male,25-34 years,"83,01,58,778",11021.0
